lib,impl,dtype,cache,M,K,N,threads,KiB,reps,perf,status,note
kleidiai,kleidiai_bf16_neon_mmla,bf16,GT_L2,2048,2048,1024,2,20516.0,1,356.428,ok,fixed=kai_matmul_clamp_f32_bf16p8x4_bf16p12x4b_8x12_neon_mmla; instr=bfmmla; omp=m_blocks
kleidiai,kleidiai_i8_neon_i8mm,i8,GT_L2,2048,2048,1024,2,14364.0,1,690.716,ok,fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_sve,bf16,GT_L2,2048,2048,1024,4,20480.0,1,739.67,ok,
i8gemm,i8gemm_sve,i8,GT_L2,2048,2048,1024,4,14336.0,1,1456.85,ok,
i8gemm,i8gemm_neon,bf16,GT_L2,2048,2048,1024,4,20480.0,1,494.47,ok,
i8gemm,i8gemm_neon,i8,GT_L2,2048,2048,1024,4,14336.0,1,1033.68,ok,
i8gemm,i8gemm_neon_m16n4,i8,GT_L2,2048,2048,1024,4,14336.0,1,713.76,ok,
acl,acl_auto,bf16,GT_L2,2048,2048,1024,4,20480.0,1,744.278,ok,selected=sve_interleaved_bf16fp32_mmla_8x3VL; compatible=sve_interleaved_bf16fp32_mmla_8x3VL|sve_hybrid_bf16fp32_mmla_6x4VL|sve_hybrid_bf16fp32_dot_6x4VL|sve_interleaved_bf16fp32_dot_8x3VL|a64_hybrid_bf16fp32_mmla_6x16|a64_interleaved_bf16fp32_mmla_8x12|a64_hybrid_bf16fp32_dot_6x16|a64_interleaved_bf16fp32_dot_8x12|a64_sgemm_8x12
acl,acl_auto,i8,GT_L2,2048,2048,1024,4,14336.0,1,1474.431,ok,selected=sve_interleaved_s8s32_mmla_8x3VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_bf16_neon_mmla,bf16,GT_L2,2048,2048,1024,4,20516.0,1,595.163,ok,fixed=kai_matmul_clamp_f32_bf16p8x4_bf16p12x4b_8x12_neon_mmla; instr=bfmmla; omp=m_blocks
kleidiai,kleidiai_i8_neon_i8mm,i8,GT_L2,2048,2048,1024,4,14364.0,1,1235.712,ok,fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_sve,bf16,GT_L2,2048,2048,1024,8,20480.0,1,1238.65,ok,
i8gemm,i8gemm_sve,i8,GT_L2,2048,2048,1024,8,14336.0,1,2334.09,ok,
i8gemm,i8gemm_neon,bf16,GT_L2,2048,2048,1024,8,20480.0,1,891.57,ok,
i8gemm,i8gemm_neon,i8,GT_L2,2048,2048,1024,8,14336.0,1,1719.85,ok,
i8gemm,i8gemm_neon_m16n4,i8,GT_L2,2048,2048,1024,8,14336.0,1,1238.10,ok,
acl,acl_auto,bf16,GT_L2,2048,2048,1024,8,20480.0,1,1320.933,ok,selected=sve_interleaved_bf16fp32_mmla_8x3VL; compatible=sve_interleaved_bf16fp32_mmla_8x3VL|sve_hybrid_bf16fp32_mmla_6x4VL|sve_hybrid_bf16fp32_dot_6x4VL|sve_interleaved_bf16fp32_dot_8x3VL|a64_hybrid_bf16fp32_mmla_6x16|a64_interleaved_bf16fp32_mmla_8x12|a64_hybrid_bf16fp32_dot_6x16|a64_interleaved_bf16fp32_dot_8x12|a64_sgemm_8x12
acl,acl_auto,i8,GT_L2,2048,2048,1024,8,14336.0,1,2691.852,ok,selected=sve_interleaved_s8s32_mmla_8x3VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_bf16_neon_mmla,bf16,GT_L2,2048,2048,1024,8,20516.0,1,1000.501,ok,fixed=kai_matmul_clamp_f32_bf16p8x4_bf16p12x4b_8x12_neon_mmla; instr=bfmmla; omp=m_blocks
kleidiai,kleidiai_i8_neon_i8mm,i8,GT_L2,2048,2048,1024,8,14364.0,1,2150.786,ok,fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_sve,bf16,GT_L2,2048,2048,2048,1,32768.0,1,278.21,ok,
i8gemm,i8gemm_sve,i8,GT_L2,2048,2048,2048,1,24576.0,1,509.71,ok,
i8gemm,i8gemm_neon,bf16,GT_L2,2048,2048,2048,1,32768.0,1,182.88,ok,
i8gemm,i8gemm_neon,i8,GT_L2,2048,2048,2048,1,24576.0,1,310.34,ok,
i8gemm,i8gemm_neon_m16n4,i8,GT_L2,2048,2048,2048,1,24576.0,1,192.17,ok,
acl,acl_auto,bf16,GT_L2,2048,2048,2048,1,32768.0,1,249.421,ok,selected=sve_interleaved_bf16fp32_mmla_8x3VL; compatible=sve_interleaved_bf16fp32_mmla_8x3VL|sve_hybrid_bf16fp32_mmla_6x4VL|sve_hybrid_bf16fp32_dot_6x4VL|sve_interleaved_bf16fp32_dot_8x3VL|a64_hybrid_bf16fp32_mmla_6x16|a64_interleaved_bf16fp32_mmla_8x12|a64_hybrid_bf16fp32_dot_6x16|a64_interleaved_bf16fp32_dot_8x12|a64_sgemm_8x12
acl,acl_auto,i8,GT_L2,2048,2048,2048,1,24576.0,1,492.982,ok,selected=sve_interleaved_s8s32_mmla_8x3VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_bf16_neon_mmla,bf16,GT_L2,2048,2048,2048,1,32792.0,1,233.263,ok,fixed=kai_matmul_clamp_f32_bf16p8x4_bf16p12x4b_8x12_neon_mmla; instr=bfmmla; omp=m_blocks
kleidiai,kleidiai_i8_neon_i8mm,i8,GT_L2,2048,2048,2048,1,24616.0,1,421.705,ok,fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_sve,bf16,GT_L2,2048,2048,2048,2,32768.0,1,397.14,ok,
i8gemm,i8gemm_sve,i8,GT_L2,2048,2048,2048,2,24576.0,1,776.85,ok,
i8gemm,i8gemm_neon,bf16,GT_L2,2048,2048,2048,2,32768.0,1,287.70,ok,
i8gemm,i8gemm_neon,i8,GT_L2,2048,2048,2048,2,24576.0,1,497.37,ok,
i8gemm,i8gemm_neon_m16n4,i8,GT_L2,2048,2048,2048,2,24576.0,1,364.67,ok,
acl,acl_auto,bf16,GT_L2,2048,2048,2048,2,32768.0,1,415.429,ok,selected=sve_interleaved_bf16fp32_mmla_8x3VL; compatible=sve_interleaved_bf16fp32_mmla_8x3VL|sve_hybrid_bf16fp32_mmla_6x4VL|sve_hybrid_bf16fp32_dot_6x4VL|sve_interleaved_bf16fp32_dot_8x3VL|a64_hybrid_bf16fp32_mmla_6x16|a64_interleaved_bf16fp32_mmla_8x12|a64_hybrid_bf16fp32_dot_6x16|a64_interleaved_bf16fp32_dot_8x12|a64_sgemm_8x12
acl,acl_auto,i8,GT_L2,2048,2048,2048,2,24576.0,1,823.194,ok,selected=sve_interleaved_s8s32_mmla_8x3VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_bf16_neon_mmla,bf16,GT_L2,2048,2048,2048,2,32792.0,1,280.136,ok,fixed=kai_matmul_clamp_f32_bf16p8x4_bf16p12x4b_8x12_neon_mmla; instr=bfmmla; omp=m_blocks
kleidiai,kleidiai_i8_neon_i8mm,i8,GT_L2,2048,2048,2048,2,24616.0,1,649.422,ok,fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_sve,bf16,GT_L2,2048,2048,2048,4,32768.0,1,691.45,ok,
i8gemm,i8gemm_sve,i8,GT_L2,2048,2048,2048,4,24576.0,1,1416.64,ok,
i8gemm,i8gemm_neon,bf16,GT_L2,2048,2048,2048,4,32768.0,1,514.66,ok,
i8gemm,i8gemm_neon,i8,GT_L2,2048,2048,2048,4,24576.0,1,971.47,ok,
i8gemm,i8gemm_neon_m16n4,i8,GT_L2,2048,2048,2048,4,24576.0,1,698.22,ok,
