variant,mode,cache,M,K,N,threads,KiB,reps,GFLOPS,pct_of_330,pct_of_330xthreads,stride_factor,batch_count
i8_neon_noload,i32,GT_L2,64,512,4096,2,3104.0,40,964.09,146.07,73.04,1,1
i8_neon_compute_only,i32,GT_L2,64,512,4096,2,3104.0,40,662.61,100.40,50.20,1,1
i8_sve_full,i32,GT_L2,64,512,4096,4,3104.0,40,1124.07,170.31,42.58,1,1
i8_sve_nostore,i32,GT_L2,64,512,4096,4,3104.0,40,1128.46,170.98,42.74,1,1
i8_sve_noload,i32,GT_L2,64,512,4096,4,3104.0,40,1453.73,220.26,55.07,1,1
i8_sve_compute_only,i32,GT_L2,64,512,4096,4,3104.0,40,1747.75,264.81,66.20,1,1
i8_neon_full,i32,GT_L2,64,512,4096,4,3104.0,40,920.09,139.41,34.85,1,1
i8_neon_nostore,i32,GT_L2,64,512,4096,4,3104.0,40,958.42,145.22,36.30,1,1
i8_neon_noload,i32,GT_L2,64,512,4096,4,3104.0,40,1636.82,248.00,62.00,1,1
i8_neon_compute_only,i32,GT_L2,64,512,4096,4,3104.0,40,1317.25,199.58,49.90,1,1
i8_sve_full,i32,GT_L2,64,512,4096,8,3104.0,40,2107.28,319.28,39.91,1,1
i8_sve_nostore,i32,GT_L2,64,512,4096,8,3104.0,40,2108.74,319.51,39.94,1,1
i8_sve_noload,i32,GT_L2,64,512,4096,8,3104.0,40,2622.22,397.31,49.66,1,1
i8_sve_compute_only,i32,GT_L2,64,512,4096,8,3104.0,40,3138.90,475.59,59.45,1,1
i8_neon_full,i32,GT_L2,64,512,4096,8,3104.0,40,1667.66,252.68,31.58,1,1
i8_neon_nostore,i32,GT_L2,64,512,4096,8,3104.0,40,1769.97,268.18,33.52,1,1
i8_neon_noload,i32,GT_L2,64,512,4096,8,3104.0,40,2927.90,443.62,55.45,1,1
i8_neon_compute_only,i32,GT_L2,64,512,4096,8,3104.0,40,2617.82,396.64,49.58,1,1
i8_sve_full,i32,GT_L2,512,512,4096,4,10496.0,40,1136.42,172.18,43.05,1,1
i8_sve_nostore,i32,GT_L2,512,512,4096,4,10496.0,40,1413.21,214.12,53.53,1,1
i8_sve_noload,i32,GT_L2,512,512,4096,4,10496.0,40,1601.17,242.60,60.65,1,1
i8_sve_compute_only,i32,GT_L2,512,512,4096,4,10496.0,40,2117.62,320.85,80.21,1,1
i8_neon_full,i32,GT_L2,512,512,4096,4,10496.0,40,734.79,111.33,27.83,1,1
i8_neon_nostore,i32,GT_L2,512,512,4096,4,10496.0,40,779.58,118.12,29.53,1,1
i8_neon_noload,i32,GT_L2,512,512,4096,4,10496.0,40,1601.11,242.59,60.65,1,1
i8_neon_compute_only,i32,GT_L2,512,512,4096,4,10496.0,40,1324.85,200.73,50.18,1,1
i8_sve_full,i32,GT_L2,512,512,4096,8,10496.0,40,2166.78,328.30,41.04,1,1
i8_sve_nostore,i32,GT_L2,512,512,4096,8,10496.0,40,2629.38,398.39,49.80,1,1
i8_sve_noload,i32,GT_L2,512,512,4096,8,10496.0,40,2922.59,442.82,55.35,1,1
i8_sve_compute_only,i32,GT_L2,512,512,4096,8,10496.0,40,3695.87,559.98,70.00,1,1
i8_neon_full,i32,GT_L2,512,512,4096,8,10496.0,40,1402.17,212.45,26.56,1,1
i8_neon_nostore,i32,GT_L2,512,512,4096,8,10496.0,40,1464.35,221.87,27.73,1,1
