lib,impl,dtype,cache,M,K,N,threads,KiB,reps,perf,status,note
acl,acl_auto,i8,GT_L2,1024,1024,2048,1,11264.0,1,485.669,ok,selected=sve_interleaved_s8s32_mmla_8x3VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_bf16_neon_mmla,bf16,GT_L2,1024,1024,2048,1,14352.0,1,230.603,ok,fixed=kai_matmul_clamp_f32_bf16p8x4_bf16p12x4b_8x12_neon_mmla; instr=bfmmla; omp=m_blocks
kleidiai,kleidiai_i8_neon_i8mm,i8,GT_L2,1024,1024,2048,1,11296.0,1,426.774,ok,fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_sve,bf16,GT_L2,1024,1024,2048,2,14336.0,1,406.14,ok,
i8gemm,i8gemm_sve,i8,GT_L2,1024,1024,2048,2,11264.0,1,775.26,ok,
i8gemm,i8gemm_neon,bf16,GT_L2,1024,1024,2048,2,14336.0,1,295.46,ok,
i8gemm,i8gemm_neon,i8,GT_L2,1024,1024,2048,2,11264.0,1,632.93,ok,
i8gemm,i8gemm_neon_m16n4,i8,GT_L2,1024,1024,2048,2,11264.0,1,476.27,ok,
acl,acl_auto,bf16,GT_L2,1024,1024,2048,2,14336.0,1,377.665,ok,selected=a64_interleaved_bf16fp32_mmla_8x12; compatible=sve_interleaved_bf16fp32_mmla_8x3VL|sve_hybrid_bf16fp32_mmla_6x4VL|sve_hybrid_bf16fp32_dot_6x4VL|sve_interleaved_bf16fp32_dot_8x3VL|a64_hybrid_bf16fp32_mmla_6x16|a64_interleaved_bf16fp32_mmla_8x12|a64_hybrid_bf16fp32_dot_6x16|a64_interleaved_bf16fp32_dot_8x12|a64_sgemm_8x12
acl,acl_auto,i8,GT_L2,1024,1024,2048,2,11264.0,1,811.810,ok,selected=sve_interleaved_s8s32_mmla_8x3VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_bf16_neon_mmla,bf16,GT_L2,1024,1024,2048,2,14352.0,1,325.509,ok,fixed=kai_matmul_clamp_f32_bf16p8x4_bf16p12x4b_8x12_neon_mmla; instr=bfmmla; omp=m_blocks
kleidiai,kleidiai_i8_neon_i8mm,i8,GT_L2,1024,1024,2048,2,11296.0,1,674.734,ok,fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_sve,bf16,GT_L2,1024,1024,2048,4,14336.0,1,730.85,ok,
i8gemm,i8gemm_sve,i8,GT_L2,1024,1024,2048,4,11264.0,1,1370.71,ok,
i8gemm,i8gemm_neon,bf16,GT_L2,1024,1024,2048,4,14336.0,1,468.26,ok,
i8gemm,i8gemm_neon,i8,GT_L2,1024,1024,2048,4,11264.0,1,1140.29,ok,
i8gemm,i8gemm_neon_m16n4,i8,GT_L2,1024,1024,2048,4,11264.0,1,852.66,ok,
acl,acl_auto,bf16,GT_L2,1024,1024,2048,4,14336.0,1,681.795,ok,selected=a64_interleaved_bf16fp32_mmla_8x12; compatible=sve_interleaved_bf16fp32_mmla_8x3VL|sve_hybrid_bf16fp32_mmla_6x4VL|sve_hybrid_bf16fp32_dot_6x4VL|sve_interleaved_bf16fp32_dot_8x3VL|a64_hybrid_bf16fp32_mmla_6x16|a64_interleaved_bf16fp32_mmla_8x12|a64_hybrid_bf16fp32_dot_6x16|a64_interleaved_bf16fp32_dot_8x12|a64_sgemm_8x12
acl,acl_auto,i8,GT_L2,1024,1024,2048,4,11264.0,1,1464.557,ok,selected=sve_interleaved_s8s32_mmla_8x3VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_bf16_neon_mmla,bf16,GT_L2,1024,1024,2048,4,14352.0,1,575.997,ok,fixed=kai_matmul_clamp_f32_bf16p8x4_bf16p12x4b_8x12_neon_mmla; instr=bfmmla; omp=m_blocks
kleidiai,kleidiai_i8_neon_i8mm,i8,GT_L2,1024,1024,2048,4,11296.0,1,1182.866,ok,fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_sve,bf16,GT_L2,1024,1024,2048,8,14336.0,1,1152.77,ok,
i8gemm,i8gemm_sve,i8,GT_L2,1024,1024,2048,8,11264.0,1,2197.08,ok,
i8gemm,i8gemm_neon,bf16,GT_L2,1024,1024,2048,8,14336.0,1,672.61,ok,
i8gemm,i8gemm_neon,i8,GT_L2,1024,1024,2048,8,11264.0,1,1899.71,ok,
i8gemm,i8gemm_neon_m16n4,i8,GT_L2,1024,1024,2048,8,11264.0,1,1261.12,ok,
acl,acl_auto,bf16,GT_L2,1024,1024,2048,8,14336.0,1,1156.731,ok,selected=a64_interleaved_bf16fp32_mmla_8x12; compatible=sve_interleaved_bf16fp32_mmla_8x3VL|sve_hybrid_bf16fp32_mmla_6x4VL|sve_hybrid_bf16fp32_dot_6x4VL|sve_interleaved_bf16fp32_dot_8x3VL|a64_hybrid_bf16fp32_mmla_6x16|a64_interleaved_bf16fp32_mmla_8x12|a64_hybrid_bf16fp32_dot_6x16|a64_interleaved_bf16fp32_dot_8x12|a64_sgemm_8x12
acl,acl_auto,i8,GT_L2,1024,1024,2048,8,11264.0,1,2306.876,ok,selected=sve_interleaved_s8s32_mmla_8x3VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_bf16_neon_mmla,bf16,GT_L2,1024,1024,2048,8,14352.0,1,1039.910,ok,fixed=kai_matmul_clamp_f32_bf16p8x4_bf16p12x4b_8x12_neon_mmla; instr=bfmmla; omp=m_blocks
kleidiai,kleidiai_i8_neon_i8mm,i8,GT_L2,1024,1024,2048,8,11296.0,1,2041.104,ok,fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_sve,bf16,GT_L2,1024,1024,4096,1,26624.0,1,268.51,ok,
i8gemm,i8gemm_sve,i8,GT_L2,1024,1024,4096,1,21504.0,1,475.17,ok,
i8gemm,i8gemm_neon,bf16,GT_L2,1024,1024,4096,1,26624.0,1,160.95,ok,
i8gemm,i8gemm_neon,i8,GT_L2,1024,1024,4096,1,21504.0,1,402.23,ok,
i8gemm,i8gemm_neon_m16n4,i8,GT_L2,1024,1024,4096,1,21504.0,1,307.23,ok,
acl,acl_auto,bf16,GT_L2,1024,1024,4096,1,26624.0,1,243.445,ok,selected=sve_interleaved_bf16fp32_mmla_8x3VL; compatible=sve_interleaved_bf16fp32_mmla_8x3VL|sve_hybrid_bf16fp32_mmla_6x4VL|sve_hybrid_bf16fp32_dot_6x4VL|sve_interleaved_bf16fp32_dot_8x3VL|a64_hybrid_bf16fp32_mmla_6x16|a64_interleaved_bf16fp32_mmla_8x12|a64_hybrid_bf16fp32_dot_6x16|a64_interleaved_bf16fp32_dot_8x12|a64_sgemm_8x12
